Ucionica,Pocetak,Kraj,Predmet,Profesor,Racunar
RAF1,10/29/2023 09:15,10/29/2023 11:15,UUP,Mladen Jovanovic,DA
RAF2,10/29/2023 09:30,10/29/2023 12:30,SK,Bojana Dimic Surla,NE
RAF3,10/29/2023 10:00,10/29/2023 13:00,UUP,Lazar Dejanovic,DA
RAF4,10/29/2023 10:45,10/29/2023 13:45,VP,Milos Radenkovic,NE
RAF5,10/29/2023 11:15,10/29/2023 13:15,UUP,Jefimija Najdic,DA
RAF6,10/29/2023 11:30,10/29/2023 13:30,UUP,Zarko Radenkovic,DA
RAF7,10/29/2023 12:00,10/29/2023 15:00,IS,Milan Tomic,DA
RAF1,10/29/2023 12:15,10/29/2023 15:15,UUP,Marko Mladenovic,NE
RAF2,10/29/2023 12:30,10/29/2023 15:30,IS,Igor Ciganovic,DA
RAF3,10/29/2023 13:00,10/29/2023 15:00,UUP,Nikola Redzic,DA
RAF4,10/29/2023 13:45,10/29/2023 16:45,SK,Jefimija Najdic,DA
RAF5,10/29/2023 14:15,10/29/2023 17:15,SJ,Milos Radenkovic,NE
RAF6,10/29/2023 14:30,10/29/2023 16:30,TS,Sava Ivkovic,DA
RAF7,10/29/2023 15:00,10/29/2023 18:00,DS,Mihail Jovanoski,DA
RAF1,10/29/2023 15:15,10/29/2023 17:15,SK,Nikola Redzic,DA
RAF2,10/29/2023 15:30,10/29/2023 17:30,UUP,Vanja Matovic,DA
RAF3,10/29/2023 16:00,10/29/2023 19:00,IS,Jelena Vasiljevic,NE
RAF4,10/29/2023 16:45,10/29/2023 19:45,TS,Sava Ivkovic,DA
RAF6,10/29/2023 17:30,10/29/2023 19:30,NWP,Nikola Redzic,DA
RAF7,10/30/2023 18:00,10/30/2023 20:00,NWP,Stefan Antic,DA
RAF2,10/30/2023 12:30,10/30/2023 15:30,IS,Igor Ciganovic,DA
RAF4,10/30/2023 13:45,10/30/2023 16:45,SK,Jefimija Najdic,DA
RAF7,10/30/2023 18:00,10/30/2023 20:00,NWP,Stefan Antic,DA
RAF3,10/30/2023 10:00,10/30/2023 13:00,UUP,Lazar Dejanovic,DA
RAF1,10/30/2023 09:15,10/30/2023 11:15,UUP,Mladen Jovanovic,DA
RAF5,10/30/2023 11:15,10/30/2023 13:15,UUP,Jefimija Najdic,DA
RAF7,10/30/2023 15:00,10/30/2023 18:00,IS,Milan Tomic,DA
RAF6,10/30/2023 14:30,10/30/2023 16:30,TS,Sava Ivkovic,DA
RAF1,10/30/2023 15:15,10/30/2023 17:15,SK,Nikola Redzic,DA
RAF2,10/30/2023 15:30,10/30/2023 17:30,UUP,Vanja Matovic,DA
